"District","facility","cluster","Month","Year","Incidence"
"Lilongwe","DHO","Likuni Hospital","June","2018",495
"Lilongwe","DHO","Likuni Hospital","July","2018",535
"Lilongwe","DHO","Likuni Hospital","August","2018",308
"Lilongwe","DHO","Likuni Hospital","September","2018",335
"Lilongwe","DHO","Likuni Hospital","October","2018",12886
"Lilongwe","DHO","Likuni Hospital","November","2018",25436
"Lilongwe","DHO","Likuni Hospital","December","2018",37987
"Lilongwe","DHO","Lilongwe-DHO","January","2019",50538
"Lilongwe","DHO","Lilongwe-DHO","February","2019",63632
"Lilongwe","DHO","Lilongwe-DHO","March","2019",62732
"Lilongwe","DHO","Lilongwe-DHO","April","2019",63213
"Lilongwe","DHO","Lilongwe-DHO","May","2019",53797
"Lilongwe","DHO","Lilongwe-DHO","June","2019",33974
"Lilongwe","DHO","Lilongwe-DHO","July","2019",15275
"Lilongwe","DHO","Lilongwe-DHO","August","2019",10843
"Lilongwe","DHO","Lilongwe-DHO","September","2019",11472
"Lilongwe","DHO","Lilongwe-DHO","October","2019",19727
"Lilongwe","DHO","Lilongwe-DHO","November","2019",26143
"Lilongwe","DHO","Lilongwe-DHO","December","2019",44338
"Lilongwe","DHO","Lilongwe-DHO","January","2018",29854
"Lilongwe","DHO","Lilongwe-DHO","February","2018",15370
"Lilongwe","DHO","Lilongwe-DHO","March","2018",886
"Lilongwe","DHO","Lilongwe-DHO","April","2018",1004
"Lilongwe","DHO","Lilongwe-DHO","May","2018",1123
"Lilongwe","DHO","Lilongwe-DHO","June","2018",219
"Lilongwe","DHO","Lilongwe-DHO","July","2018",21020
"Lilongwe","DHO","Lilongwe-DHO","August","2018",12709
"Lilongwe","DHO","Lilongwe-DHO","September","2018",14265
"Lilongwe","DHO","Lilongwe-DHO","October","2018",18506
"Lilongwe","DHO","Lilongwe-DHO","November","2018",19184
"Lilongwe","DHO","Lilongwe-DHO","December","2018",20422
"Blantyre","DHO","Limbe Health Centre","January","2019",342
"Blantyre","DHO","Limbe Health Centre","March","2019",192
"Blantyre","DHO","Limbe Health Centre","May","2019",933
"Blantyre","DHO","Limbe Health Centre","July","2019",138
"Blantyre","DHO","Limbe Health Centre","August","2019",180
"Blantyre","DHO","Limbe Health Centre","September","2019",180
"Blantyre","DHO","Limbe Health Centre","October","2019",148
"Blantyre","DHO","Limbe Health Centre","November","2019",100
"Blantyre","DHO","Limbe Health Centre","December","2019",171
"Blantyre","DHO","Limbe Health Centre","January","2018",132
"Blantyre","DHO","Limbe Health Centre","February","2018",100
"Blantyre","DHO","Limbe Health Centre","June","2018",69
"Blantyre","DHO","Limbe Health Centre","November","2018",17
"Blantyre","DHO","Limbe Health Centre","December","2018",124
"Kasungu","DHO","Linyangwa Health Centre","January","2019",398
"Kasungu","DHO","Linyangwa Health Centre","February","2019",669
"Kasungu","DHO","Linyangwa Health Centre","March","2019",945
"Kasungu","DHO","Linyangwa Health Centre","April","2019",1438
"Kasungu","DHO","Linyangwa Health Centre","May","2019",1831
"Kasungu","DHO","Linyangwa Health Centre","June","2019",1019
"Kasungu","DHO","Linyangwa Health Centre","July","2019",478
"Kasungu","DHO","Linyangwa Health Centre","August","2019",307
"Kasungu","DHO","Linyangwa Health Centre","September","2019",298
"Kasungu","DHO","Linyangwa Health Centre","October","2019",590
"Kasungu","DHO","Linyangwa Health Centre","November","2019",545
"Kasungu","DHO","Linyangwa Health Centre","December","2019",310
"Kasungu","DHO","Linyangwa Health Centre","January","2018",363
"Kasungu","DHO","Linyangwa Health Centre","February","2018",398
"Kasungu","DHO","Linyangwa Health Centre","March","2018",434
"Kasungu","DHO","Linyangwa Health Centre","April","2018",469
"Kasungu","DHO","Linyangwa Health Centre","May","2018",504
"Kasungu","DHO","Linyangwa Health Centre","June","2018",540
"Kasungu","DHO","Linyangwa Health Centre","July","2018",575
"Kasungu","DHO","Linyangwa Health Centre","August","2018",610
"Kasungu","DHO","Linyangwa Health Centre","September","2018",646
"Kasungu","DHO","Linyangwa Health Centre","October","2018",681
"Kasungu","DHO","Linyangwa Health Centre","November","2018",716
"Kasungu","DHO","Linyangwa Health Centre","December","2018",752
"Blantyre","DHO","Lirangwe Health Centre","January","2019",1538
"Blantyre","DHO","Lirangwe Health Centre","February","2019",2848
"Blantyre","DHO","Lirangwe Health Centre","March","2019",4382
"Blantyre","DHO","Lirangwe Health Centre","April","2019",2959
"Blantyre","DHO","Lirangwe Health Centre","May","2019",3188
"Blantyre","DHO","Lirangwe Health Centre","June","2019",3369
"Blantyre","DHO","Lirangwe Health Centre","July","2019",2722
"Blantyre","DHO","Lirangwe Health Centre","August","2019",2213
"Blantyre","DHO","Lirangwe Health Centre","November","2019",2486
"Blantyre","DHO","Lirangwe Health Centre","December","2019",2291
"Blantyre","DHO","Lirangwe Health Centre","January","2018",2226
"Blantyre","DHO","Lirangwe Health Centre","February","2018",2153
"Blantyre","DHO","Lirangwe Health Centre","March","2018",2080
"Blantyre","DHO","Lirangwe Health Centre","April","2018",2007
"Blantyre","DHO","Lirangwe Health Centre","May","2018",1934
"Blantyre","DHO","Lirangwe Health Centre","June","2018",1861
"Blantyre","DHO","Lirangwe Health Centre","July","2018",1789
"Blantyre","DHO","Lirangwe Health Centre","December","2018",1398
"Neno","DHO","Lisungwi Health Centre","January","2019",990
"Neno","DHO","Lisungwi Health Centre","February","2019",1348
"Neno","DHO","Lisungwi Health Centre","March","2019",1875
"Neno","DHO","Lisungwi Health Centre","April","2019",1518
"Neno","DHO","Lisungwi Health Centre","May","2019",1892
"Neno","DHO","Lisungwi Health Centre","June","2019",546
"Neno","DHO","Lisungwi Health Centre","July","2019",277
"Neno","DHO","Lisungwi Health Centre","August","2019",260
"Neno","DHO","Lisungwi Health Centre","September","2019",259
"Neno","DHO","Lisungwi Health Centre","October","2019",275
"Neno","DHO","Lisungwi Health Centre","November","2019",124
"Neno","DHO","Lisungwi Health Centre","December","2019",350
"Neno","DHO","Lisungwi Health Centre","January","2018",433
"Neno","DHO","Lisungwi Health Centre","February","2018",527
"Neno","DHO","Lisungwi Health Centre","March","2018",621
"Neno","DHO","Lisungwi Health Centre","April","2018",714
"Neno","DHO","Lisungwi Health Centre","May","2018",808
"Neno","DHO","Lisungwi Health Centre","June","2018",902
"Neno","DHO","Lisungwi Health Centre","July","2018",1027
"Neno","DHO","Lisungwi Health Centre","August","2018",806
"Neno","DHO","Lisungwi Health Centre","September","2018",839
"Neno","DHO","Lisungwi Health Centre","October","2018",782
"Neno","DHO","Lisungwi Health Centre","November","2018",357
"Neno","DHO","Lisungwi Health Centre","December","2018",357
"Nkhata","Bay","Liuzi Health Centre","January","2019",1041
"Nkhata","Bay","Liuzi Health Centre","February","2019",839
"Nkhata","Bay","Liuzi Health Centre","March","2019",933
"Nkhata","Bay","Liuzi Health Centre","April","2019",842
"Nkhata","Bay","Liuzi Health Centre","May","2019",797
"Nkhata","Bay","Liuzi Health Centre","June","2019",805
"Nkhata","Bay","Liuzi Health Centre","July","2019",697
"Nkhata","Bay","Liuzi Health Centre","August","2019",611
"Nkhata","Bay","Liuzi Health Centre","September","2019",762
"Nkhata","Bay","Liuzi Health Centre","October","2019",760
"Nkhata","Bay","Liuzi Health Centre","November","2019",683
"Nkhata","Bay","Liuzi Health Centre","December","2019",463
"Nkhata","Bay","Liuzi Health Centre","January","2018",462
"Nkhata","Bay","Liuzi Health Centre","February","2018",462
"Nkhata","Bay","Liuzi Health Centre","March","2018",461
"Nkhata","Bay","Liuzi Health Centre","April","2018",461
"Nkhata","Bay","Liuzi Health Centre","May","2018",460
"Nkhata","Bay","Liuzi Health Centre","June","2018",460
"Nkhata","Bay","Liuzi Health Centre","July","2018",459
"Nkhata","Bay","Liuzi Health Centre","August","2018",459
"Nkhata","Bay","Liuzi Health Centre","September","2018",458
"Nkhata","Bay","Liuzi Health Centre","October","2018",458
"Nkhata","Bay","Liuzi Health Centre","November","2018",457
"Nkhata","Bay","Liuzi Health Centre","December","2018",457
"Kasungu","DHO","Livwezi Health Centre","January","2019",787
"Kasungu","DHO","Livwezi Health Centre","February","2019",807
"Kasungu","DHO","Livwezi Health Centre","March","2019",1119
"Kasungu","DHO","Livwezi Health Centre","April","2019",651
"Kasungu","DHO","Livwezi Health Centre","May","2019",518
"Kasungu","DHO","Livwezi Health Centre","June","2019",179
"Kasungu","DHO","Livwezi Health Centre","July","2019",90
"Kasungu","DHO","Livwezi Health Centre","August","2019",53
"Kasungu","DHO","Livwezi Health Centre","September","2019",53
"Kasungu","DHO","Livwezi Health Centre","October","2019",65
"Kasungu","DHO","Livwezi Health Centre","November","2019",195
"Kasungu","DHO","Livwezi Health Centre","December","2019",291
"Kasungu","DHO","Livwezi Health Centre","January","2018",303
"Kasungu","DHO","Livwezi Health Centre","February","2018",320
"Kasungu","DHO","Livwezi Health Centre","March","2018",338
"Kasungu","DHO","Livwezi Health Centre","April","2018",355
"Kasungu","DHO","Livwezi Health Centre","May","2018",373
"Kasungu","DHO","Livwezi Health Centre","June","2018",390
"Kasungu","DHO","Livwezi Health Centre","July","2018",408
"Kasungu","DHO","Livwezi Health Centre","August","2018",425
"Kasungu","DHO","Livwezi Health Centre","September","2018",442
"Kasungu","DHO","Livwezi Health Centre","October","2018",460
"Kasungu","DHO","Livwezi Health Centre","November","2018",477
"Kasungu","DHO","Livwezi Health Centre","December","2018",495
"Nkhotakota","DHO","Liwaladzi Health Centre","January","2019",321
"Nkhotakota","DHO","Liwaladzi Health Centre","February","2019",208
"Nkhotakota","DHO","Liwaladzi Health Centre","March","2019",283
"Nkhotakota","DHO","Liwaladzi Health Centre","April","2019",175
"Nkhotakota","DHO","Liwaladzi Health Centre","May","2019",218
"Nkhotakota","DHO","Liwaladzi Health Centre","June","2019",345
"Nkhotakota","DHO","Liwaladzi Health Centre","July","2019",423
"Nkhotakota","DHO","Liwaladzi Health Centre","August","2019",404
"Nkhotakota","DHO","Liwaladzi Health Centre","September","2019",405
"Nkhotakota","DHO","Liwaladzi Health Centre","October","2019",423
"Nkhotakota","DHO","Liwaladzi Health Centre","November","2019",304
"Nkhotakota","DHO","Liwaladzi Health Centre","December","2019",140
"Nkhotakota","DHO","Liwaladzi Health Centre","January","2018",160
"Nkhotakota","DHO","Liwaladzi Health Centre","February","2018",180
"Nkhotakota","DHO","Liwaladzi Health Centre","March","2018",199
"Nkhotakota","DHO","Liwaladzi Health Centre","April","2018",219
"Nkhotakota","DHO","Liwaladzi Health Centre","May","2018",239
"Nkhotakota","DHO","Liwaladzi Health Centre","June","2018",259
"Nkhotakota","DHO","Liwaladzi Health Centre","July","2018",278
"Nkhotakota","DHO","Liwaladzi Health Centre","August","2018",298
"Nkhotakota","DHO","Liwaladzi Health Centre","September","2018",318
"Nkhotakota","DHO","Liwaladzi Health Centre","October","2018",338
"Nkhotakota","DHO","Liwaladzi Health Centre","November","2018",357
"Nkhotakota","DHO","Liwaladzi Health Centre","December","2018",377
"Ntcheu","DHO","Lizulu Health Centre","January","2019",795
"Ntcheu","DHO","Lizulu Health Centre","February","2019",976
"Ntcheu","DHO","Lizulu Health Centre","March","2019",1548
"Ntcheu","DHO","Lizulu Health Centre","April","2019",1560
"Ntcheu","DHO","Lizulu Health Centre","May","2019",1783
"Ntcheu","DHO","Lizulu Health Centre","June","2019",486
"Ntcheu","DHO","Lizulu Health Centre","July","2019",118
"Ntcheu","DHO","Lizulu Health Centre","August","2019",90
"Ntcheu","DHO","Lizulu Health Centre","September","2019",102
"Ntcheu","DHO","Lizulu Health Centre","October","2019",200
"Ntcheu","DHO","Lizulu Health Centre","November","2019",341
"Ntcheu","DHO","Lizulu Health Centre","December","2019",1107
"Ntcheu","DHO","Lizulu Health Centre","January","2018",1053
"Ntcheu","DHO","Lizulu Health Centre","February","2018",1082
"Ntcheu","DHO","Lizulu Health Centre","March","2018",1110
"Ntcheu","DHO","Lizulu Health Centre","April","2018",1139
"Ntcheu","DHO","Lizulu Health Centre","May","2018",1167
"Ntcheu","DHO","Lizulu Health Centre","June","2018",1195
"Ntcheu","DHO","Lizulu Health Centre","July","2018",1224
"Ntcheu","DHO","Lizulu Health Centre","August","2018",1252
"Ntcheu","DHO","Lizulu Health Centre","September","2018",1280
"Ntcheu","DHO","Lizulu Health Centre","October","2018",1309
"Ntcheu","DHO","Lizulu Health Centre","November","2018",1337
"Ntcheu","DHO","Lizulu Health Centre","December","2018",1366
"Dedza","DHO","Lobi Health Centre","January","2019",564
"Dedza","DHO","Lobi Health Centre","February","2019",575
"Dedza","DHO","Lobi Health Centre","March","2019",559
"Dedza","DHO","Lobi Health Centre","April","2019",398
"Dedza","DHO","Lobi Health Centre","May","2019",382
"Dedza","DHO","Lobi Health Centre","June","2019",239
"Dedza","DHO","Lobi Health Centre","July","2019",92
"Dedza","DHO","Lobi Health Centre","August","2019",37
"Dedza","DHO","Lobi Health Centre","September","2019",11
"Dedza","DHO","Lobi Health Centre","October","2019",33
"Dedza","DHO","Lobi Health Centre","November","2019",82
"Dedza","DHO","Lobi Health Centre","December","2019",235
"Dedza","DHO","Lobi Health Centre","January","2018",231
"Dedza","DHO","Lobi Health Centre","February","2018",226
"Dedza","DHO","Lobi Health Centre","March","2018",222
"Dedza","DHO","Lobi Health Centre","April","2018",217
"Dedza","DHO","Lobi Health Centre","May","2018",213
"Dedza","DHO","Lobi Health Centre","June","2018",209
"Dedza","DHO","Lobi Health Centre","July","2018",204
"Dedza","DHO","Lobi Health Centre","August","2018",200
"Dedza","DHO","Lobi Health Centre","September","2018",196
"Dedza","DHO","Lobi Health Centre","October","2018",191
"Dedza","DHO","Lobi Health Centre","November","2018",187
"Dedza","DHO","Lobi Health Centre","December","2018",182
"Kasungu","DHO","Lodjwa Health Centre","January","2019",514
"Kasungu","DHO","Lodjwa Health Centre","February","2019",489
"Kasungu","DHO","Lodjwa Health Centre","March","2019",733
"Kasungu","DHO","Lodjwa Health Centre","April","2019",795
"Kasungu","DHO","Lodjwa Health Centre","May","2019",849
"Kasungu","DHO","Lodjwa Health Centre","June","2019",590
"Kasungu","DHO","Lodjwa Health Centre","July","2019",274
"Kasungu","DHO","Lodjwa Health Centre","August","2019",100
"Kasungu","DHO","Lodjwa Health Centre","September","2019",90
"Kasungu","DHO","Lodjwa Health Centre","October","2019",114
"Kasungu","DHO","Lodjwa Health Centre","November","2019",200
"Kasungu","DHO","Lodjwa Health Centre","December","2019",213
"Kasungu","DHO","Lodjwa Health Centre","January","2018",257
"Kasungu","DHO","Lodjwa Health Centre","February","2018",299
"Kasungu","DHO","Lodjwa Health Centre","March","2018",341
"Kasungu","DHO","Lodjwa Health Centre","April","2018",384
"Kasungu","DHO","Lodjwa Health Centre","June","2018",426
"Kasungu","DHO","Lodjwa Health Centre","July","2018",468
"Kasungu","DHO","Lodjwa Health Centre","August","2018",510
"Kasungu","DHO","Lodjwa Health Centre","September","2018",552
"Kasungu","DHO","Lodjwa Health Centre","October","2018",595
"Kasungu","DHO","Lodjwa Health Centre","November","2018",637
"Kasungu","DHO","Lodjwa Health Centre","December","2018",679
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","January","2019",996
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","February","2019",1085
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","March","2019",784
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","April","2019",944
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","May","2019",1045
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","June","2019",564
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","July","2019",207
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","August","2019",237
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","September","2019",255
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","October","2019",402
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","November","2019",554
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","December","2019",920
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","January","2018",998
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","February","2018",1078
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","March","2018",1158
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","April","2018",1238
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","May","2018",1318
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","June","2018",1398
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","July","2018",1478
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","August","2018",1559
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","September","2018",1639
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","October","2018",1719
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","November","2018",1799
"Mchinji","DHO","Ludzi St Joseph's Mission Hospital","December","2018",1879
"Mangochi","DHO","Lugola Health Centre","January","2019",600
"Mangochi","DHO","Lugola Health Centre","February","2019",1000
"Mangochi","DHO","Lugola Health Centre","March","2019",954
"Mangochi","DHO","Lugola Health Centre","April","2019",234
"Mangochi","DHO","Lugola Health Centre","May","2019",279
"Mangochi","DHO","Lugola Health Centre","June","2019",182
"Mangochi","DHO","Lugola Health Centre","July","2019",180
"Mangochi","DHO","Lugola Health Centre","August","2019",160
"Mangochi","DHO","Lugola Health Centre","September","2019",138
"Mangochi","DHO","Lugola Health Centre","October","2019",244
"Mangochi","DHO","Lugola Health Centre","November","2019",176
"Mangochi","DHO","Lugola Health Centre","December","2019",126
"Mangochi","DHO","Lugola Health Centre","January","2018",165
"Mangochi","DHO","Lugola Health Centre","March","2018",203
"Mangochi","DHO","Lugola Health Centre","April","2018",242
"Mangochi","DHO","Lugola Health Centre","July","2018",281
"Mangochi","DHO","Lugola Health Centre","August","2018",319
"Mangochi","DHO","Lugola Health Centre","September","2018",358
"Mangochi","DHO","Lugola Health Centre","November","2018",397
"Mangochi","DHO","Lugola Health Centre","December","2018",436
"Mulanje","DHO","Lujeri Health Centre","January","2019",1279
"Mulanje","DHO","Lujeri Health Centre","February","2019",1330
"Mulanje","DHO","Lujeri Health Centre","March","2019",1056
"Mulanje","DHO","Lujeri Health Centre","April","2019",1041
"Mulanje","DHO","Lujeri Health Centre","May","2019",1318
"Mulanje","DHO","Lujeri Health Centre","June","2019",850
"Mulanje","DHO","Lujeri Health Centre","July","2019",615
"Mulanje","DHO","Lujeri Health Centre","August","2019",452
"Mulanje","DHO","Lujeri Health Centre","September","2019",622
"Mulanje","DHO","Lujeri Health Centre","October","2019",858
"Mulanje","DHO","Lujeri Health Centre","November","2019",1150
"Mulanje","DHO","Lujeri Health Centre","December","2019",2416
"Mulanje","DHO","Lujeri Health Centre","January","2018",2135
"Mulanje","DHO","Lujeri Health Centre","February","2018",2044
"Mulanje","DHO","Lujeri Health Centre","March","2018",1954
"Mulanje","DHO","Lujeri Health Centre","April","2018",1863
"Mulanje","DHO","Lujeri Health Centre","May","2018",1773
"Mulanje","DHO","Lujeri Health Centre","June","2018",1683
"Mulanje","DHO","Lujeri Health Centre","July","2018",1592
"Mulanje","DHO","Lujeri Health Centre","August","2018",1502
"Mulanje","DHO","Lujeri Health Centre","September","2018",1412
"Mulanje","DHO","Lujeri Health Centre","October","2018",1321
"Mulanje","DHO","Lujeri Health Centre","November","2018",1231
"Mulanje","DHO","Lujeri Health Centre","December","2018",1140
"Mangochi","DHO","Lulanga Health Centre","January","2019",474
"Mangochi","DHO","Lulanga Health Centre","February","2019",513
"Mangochi","DHO","Lulanga Health Centre","March","2019",426
"Mangochi","DHO","Lulanga Health Centre","April","2019",587
"Mangochi","DHO","Lulanga Health Centre","May","2019",517
"Mangochi","DHO","Lulanga Health Centre","June","2019",374
"Mangochi","DHO","Lulanga Health Centre","July","2019",249
"Mangochi","DHO","Lulanga Health Centre","August","2019",191
"Mangochi","DHO","Lulanga Health Centre","September","2019",196
"Mangochi","DHO","Lulanga Health Centre","October","2019",194
"Mangochi","DHO","Lulanga Health Centre","November","2019",144
"Mangochi","DHO","Lulanga Health Centre","December","2019",88
"Mangochi","DHO","Lulanga Health Centre","January","2018",230
"Mangochi","DHO","Lulanga Health Centre","February","2018",373
"Mangochi","DHO","Lulanga Health Centre","March","2018",515
"Mangochi","DHO","Lulanga Health Centre","April","2018",658
"Mangochi","DHO","Lulanga Health Centre","May","2018",800
"Mangochi","DHO","Lulanga Health Centre","June","2018",943
"Mangochi","DHO","Lulanga Health Centre","July","2018",1085
"Mangochi","DHO","Lulanga Health Centre","August","2018",1228
"Mangochi","DHO","Lulanga Health Centre","September","2018",1370
"Mangochi","DHO","Lulanga Health Centre","October","2018",1513
"Mangochi","DHO","Lulanga Health Centre","November","2018",1655
"Mangochi","DHO","Lulanga Health Centre","December","2018",1798
"Nsanje","DHO","Lulwe Health Centre","January","2019",45
"Nsanje","DHO","Lulwe Health Centre","February","2019",45
"Nsanje","DHO","Lulwe Health Centre","March","2019",45
"Nsanje","DHO","Lulwe Health Centre","April","2019",44
"Nsanje","DHO","Lulwe Health Centre","May","2019",84
"Nsanje","DHO","Lulwe Health Centre","June","2019",91
"Nsanje","DHO","Lulwe Health Centre","July","2019",36
"Nsanje","DHO","Lulwe Health Centre","August","2019",30
"Nsanje","DHO","Lulwe Health Centre","September","2019",71
"Nsanje","DHO","Lulwe Health Centre","October","2019",108
"Nsanje","DHO","Lulwe Health Centre","November","2019",60
"Nsanje","DHO","Lulwe Health Centre","December","2019",81
"Nsanje","DHO","Lulwe Health Centre","January","2018",197
"Nsanje","DHO","Lulwe Health Centre","February","2018",311
"Nsanje","DHO","Lulwe Health Centre","March","2018",425
"Nsanje","DHO","Lulwe Health Centre","April","2018",539
"Nsanje","DHO","Lulwe Health Centre","May","2018",654
"Nsanje","DHO","Lulwe Health Centre","June","2018",768
"Nsanje","DHO","Lulwe Health Centre","July","2018",882
"Nsanje","DHO","Lulwe Health Centre","August","2018",996
"Nsanje","DHO","Lulwe Health Centre","September","2018",1110
"Nsanje","DHO","Lulwe Health Centre","October","2018",1225
"Nsanje","DHO","Lulwe Health Centre","November","2018",1339
"Nsanje","DHO","Lulwe Health Centre","December","2018",1453
"Lilongwe","DHO","Lumbadzi Health Centre","January","2019",4248
"Lilongwe","DHO","Lumbadzi Health Centre","February","2019",1221
"Lilongwe","DHO","Lumbadzi Health Centre","March","2019",1869
"Lilongwe","DHO","Lumbadzi Health Centre","April","2019",2137
"Lilongwe","DHO","Lumbadzi Health Centre","May","2019",1962
"Lilongwe","DHO","Lumbadzi Health Centre","June","2019",1159
"Lilongwe","DHO","Lumbadzi Health Centre","July","2019",559
"Lilongwe","DHO","Lumbadzi Health Centre","August","2019",336
"Lilongwe","DHO","Lumbadzi Health Centre","September","2019",350
"Lilongwe","DHO","Lumbadzi Health Centre","October","2019",488
"Lilongwe","DHO","Lumbadzi Health Centre","November","2019",641
"Lilongwe","DHO","Lumbadzi Health Centre","December","2019",1439
"Lilongwe","DHO","Lumbadzi Health Centre","January","2018",1910
"Lilongwe","DHO","Lumbadzi Health Centre","February","2018",2381
"Lilongwe","DHO","Lumbadzi Health Centre","March","2018",2852
"Lilongwe","DHO","Lumbadzi Health Centre","April","2018",3324
"Lilongwe","DHO","Lumbadzi Health Centre","May","2018",3795
"Lilongwe","DHO","Lumbadzi Health Centre","June","2018",4266
"Lilongwe","DHO","Lumbadzi Health Centre","July","2018",4737
"Lilongwe","DHO","Lumbadzi Health Centre","August","2018",1945
"Lilongwe","DHO","Lumbadzi Health Centre","September","2018",2093
"Lilongwe","DHO","Lumbadzi Health Centre","October","2018",3085
"Lilongwe","DHO","Lumbadzi Health Centre","November","2018",4380
"Lilongwe","DHO","Lumbadzi Health Centre","December","2018",2782
"Blantyre","DHO","Lundu Health Centre","January","2019",5370
"Blantyre","DHO","Lundu Health Centre","February","2019",4595
"Blantyre","DHO","Lundu Health Centre","March","2019",6878
"Blantyre","DHO","Lundu Health Centre","April","2019",5100
"Blantyre","DHO","Lundu Health Centre","May","2019",5250
"Blantyre","DHO","Lundu Health Centre","June","2019",2500
"Blantyre","DHO","Lundu Health Centre","July","2019",1394
"Blantyre","DHO","Lundu Health Centre","August","2019",949
"Blantyre","DHO","Lundu Health Centre","September","2019",945
"Blantyre","DHO","Lundu Health Centre","November","2019",1162
"Blantyre","DHO","Lundu Health Centre","December","2019",1340
"Blantyre","DHO","Lundu Health Centre","January","2018",1277
"Blantyre","DHO","Lundu Health Centre","February","2018",1234
"Blantyre","DHO","Lundu Health Centre","March","2018",1190
"Blantyre","DHO","Lundu Health Centre","April","2018",1147
"Blantyre","DHO","Lundu Health Centre","May","2018",1103
"Blantyre","DHO","Lundu Health Centre","June","2018",1059
"Blantyre","DHO","Lundu Health Centre","July","2018",1016
"Blantyre","DHO","Lundu Health Centre","August","2018",972
"Blantyre","DHO","Lundu Health Centre","September","2018",929
"Blantyre","DHO","Lundu Health Centre","October","2018",885
"Mangochi","DHO","Lungwena Health Centre","January","2019",1940
"Mangochi","DHO","Lungwena Health Centre","February","2019",1791
"Mangochi","DHO","Lungwena Health Centre","March","2019",1989
"Mangochi","DHO","Lungwena Health Centre","April","2019",1947
"Mangochi","DHO","Lungwena Health Centre","May","2019",2269
"Mangochi","DHO","Lungwena Health Centre","June","2019",1585
"Mangochi","DHO","Lungwena Health Centre","July","2019",1286
"Mangochi","DHO","Lungwena Health Centre","August","2019",1381
"Mangochi","DHO","Lungwena Health Centre","September","2019",1130
"Mangochi","DHO","Lungwena Health Centre","October","2019",1085
"Mangochi","DHO","Lungwena Health Centre","November","2019",583
"Mangochi","DHO","Lungwena Health Centre","December","2019",477
"Mangochi","DHO","Lungwena Health Centre","August","2018",369
"Mangochi","DHO","Lungwena Health Centre","September","2018",262
"Mzimba","South","Lunjika Health Centre","January","2019",291
"Mzimba","South","Lunjika Health Centre","March","2019",376
"Mzimba","South","Lunjika Health Centre","April","2019",399
"Mzimba","South","Lunjika Health Centre","May","2019",353
"Mzimba","South","Lunjika Health Centre","June","2019",198
"Mzimba","South","Lunjika Health Centre","July","2019",58
"Mzimba","South","Lunjika Health Centre","August","2019",29
"Mzimba","South","Lunjika Health Centre","September","2019",11
"Mzimba","South","Lunjika Health Centre","October","2019",15
"Mzimba","South","Lunjika Health Centre","November","2019",39
"Mzimba","South","Lunjika Health Centre","December","2019",148
"Mzimba","South","Lunjika Health Centre","January","2018",110
"Mzimba","South","Lunjika Health Centre","February","2018",107
"Mzimba","South","Lunjika Health Centre","April","2018",104
"Mzimba","South","Lunjika Health Centre","May","2018",101
"Mzimba","South","Lunjika Health Centre","June","2018",97
"Mzimba","South","Lunjika Health Centre","July","2018",63
"Mzimba","South","Lunjika Health Centre","August","2018",27
"Mzimba","South","Lunjika Health Centre","September","2018",45
"Mzimba","South","Lunjika Health Centre","October","2018",12
"Mzimba","South","Lunjika Health Centre","November","2018",13
"Mzimba","South","Lunjika Health Centre","December","2018",15
"Karonga","DHO","Lupembe Health Centre","January","2019",98
"Karonga","DHO","Lupembe Health Centre","February","2019",98
"Karonga","DHO","Lupembe Health Centre","March","2019",113
"Karonga","DHO","Lupembe Health Centre","April","2019",87
"Karonga","DHO","Lupembe Health Centre","May","2019",74
"Karonga","DHO","Lupembe Health Centre","June","2019",42
"Karonga","DHO","Lupembe Health Centre","July","2019",16
"Karonga","DHO","Lupembe Health Centre","August","2019",21
"Karonga","DHO","Lupembe Health Centre","September","2019",32
"Karonga","DHO","Lupembe Health Centre","October","2019",25
"Karonga","DHO","Lupembe Health Centre","November","2019",14
"Karonga","DHO","Lupembe Health Centre","December","2019",17
"Karonga","DHO","Lupembe Health Centre","January","2018",62
"Karonga","DHO","Lupembe Health Centre","February","2018",98
"Karonga","DHO","Lupembe Health Centre","March","2018",135
